foundation_names,rating,verified_purchase,time_ago,shade,shade_depth,undertone,skin_type,skin_tone,eye_color,review_body,days_ago,clean_review_body
Armani Mini Luminous Silk,,No,,,,,,,,"I love this foundation! [I received this product in exchange for my honest review] This foundation is great! I'm simply in love with it. It's light when it's on my face, and it builds easily. It doesn't feel greasy and doesn't look cakey. The smell is neutral too, which is great.",,i love this foundation i received this product in exchange for my honest review this foundation is great i m simply in love with it it s light when it s on my face and it builds easily it doesn t feel greasy and doesn t look cakey the smell is neutral too which is great
Armani Mini Luminous Silk,1.0,Yes,2 d ago,,,,Normal,,Blue,"Verified Purchase 2 d ago Terrible Loved the old formula , the new one is very greasy/shinny looking will not repurchase",2.0,verified purchase d ago terrible loved the old formula the new one is very greasy shinny looking will not repurchase
Armani Mini Luminous Silk,,No,,,,,,,,"Terrible Loved the old formula , the new one is very greasy/shinny looking will not repurchase",,terrible loved the old formula the new one is very greasy shinny looking will not repurchase
Armani Mini Luminous Silk,5.0,No,2 d ago,,,,Oily,Light Medium,Brown,2 d ago Recommended The perfect lightweight match Can I just say that I hate that I loved this foundation because I’m going to want to rebuy it and my wallet can’t afford that. I’ve never tried a foundation that was a perfect match. I’m always scared to buy foundation because it is always somewhat off. This one is flawless. It covered all my imperfections and made my skin look smooth and blurred without looking cakey and heavy. It felt silky lightweight I don’t like using heavy oily foundation and this one was a perfect mix between matte and silky Read more,2.0,d ago recommended the perfect lightweight match can i just say that i hate that i loved this foundation because i m going to want to rebuy it and my wallet can t afford that i ve never tried a foundation that was a perfect match i m always scared to buy foundation because it is always somewhat off this one is flawless it covered all my imperfections and made my skin look smooth and blurred without looking cakey and heavy it felt silky lightweight i don t like using heavy oily foundation and this one was a perfect mix between matte and silky read more
Armani Mini Luminous Silk,,No,,,,,,,,The perfect lightweight match Can I just say that I hate that I loved this foundation because I’m going to want to rebuy it and my wallet can’t afford that. I’ve never tried a foundation that was a perfect match. I’m always scared to buy foundation because it is always somewhat off. This one is flawless. It covered all my imperfections and made my skin look smooth and blurred without looking cakey and heavy. It felt silky lightweight I don’t like using heavy oily foundation and this one was a perfect mix between matte and silky Read more,,the perfect lightweight match can i just say that i hate that i loved this foundation because i m going to want to rebuy it and my wallet can t afford that i ve never tried a foundation that was a perfect match i m always scared to buy foundation because it is always somewhat off this one is flawless it covered all my imperfections and made my skin look smooth and blurred without looking cakey and heavy it felt silky lightweight i don t like using heavy oily foundation and this one was a perfect mix between matte and silky read more
Estee Lauder Double Wear,,No,,,,,,,,lightest with neutral undertones I love this foundation. I love how natural it feels on my face and the way it looks. I received this product for free from Estee Lauder for testing and review purposes.,,lightest with neutral undertones i love this foundation i love how natural it feels on my face and the way it looks i received this product for free from estee lauder for testing and review purposes
Estee Lauder Double Wear,,No,,,,,,,,"light with neutral rosy undertones I used this in the morning, so I could go a full day in it to see how well it would work for me. First thing I noticed was that I had to apply it quickly, otherwise, it wouldn’t go very far without me having to use more product. The texture was smooth and it dried down quickly. It didn't have a fragrance that I could easily discern. The coverage is buildable and I really liked that as I needed more coverage in some areas. The end product was great. Everything looked smooth and natural, plus the coverage looked really nice! Super happy! Unfortunately, By the end of my 8 hour day, I had some areas where the product had worn down and reapplication was needed. Next Day: Much better! Applied more product and applied it differently my makeup was 100% all day! I received this product for free from Estée Lauder for testing and review purposes. Read more",,light with neutral rosy undertones i used this in the morning so i could go a full day in it to see how well it would work for me first thing i noticed was that i had to apply it quickly otherwise it wouldn t go very far without me having to use more product the texture was smooth and it dried down quickly it didn t have a fragrance that i could easily discern the coverage is buildable and i really liked that as i needed more coverage in some areas the end product was great everything looked smooth and natural plus the coverage looked really nice super happy unfortunately by the end of my hour day i had some areas where the product had worn down and reapplication was needed next day much better applied more product and applied it differently my makeup was all day i received this product for free from est e lauder for testing and review purposes read more
Estee Lauder Double Wear,,No,,,,,,,,"medium tan with neutral subtle golden undertones This foundation works great. It blends smoothly, it blurs imperfections, it smoothens fine lines leaving skin with a perfectly smooth, mattify finish that looks flawless. This foundation feels very comfortable on my skin. It is long-lasting, stays in place and doesn't smudge or transfer on to my clothing or on my phone screen like other foundation sometimes does. I absolutely would recommend this product. Read more",,medium tan with neutral subtle golden undertones this foundation works great it blends smoothly it blurs imperfections it smoothens fine lines leaving skin with a perfectly smooth mattify finish that looks flawless this foundation feels very comfortable on my skin it is long lasting stays in place and doesn t smudge or transfer on to my clothing or on my phone screen like other foundation sometimes does i absolutely would recommend this product read more
Estee Lauder Double Wear,,No,,,,,,,,"light with neutral rosy undertones I’ve been testing the Estée Lauder Double Wear Stay-in-Place Foundation for the past week and have been really impressed. I apply it in the morning before work, and it truly lasts all day without getting shiny or patchy, even through workouts and humidity. The texture is lightweight and liquidy, so it blends easily with a brush or sponge and feels surprisingly comfortable on my skin—not heavy or mask-like. I’d call the coverage medium to full, and it evens out my tone beautifully without settling into fine lines. There’s barely any scent, which I really like, and once it sets, it doesn’t transfer onto clothes or my phone. By the end of the night it still looks polished, which is rare for me. Overall, a super reliable long-wear foundation. I received this product for free from Estee Lauder for testing and review purposes. Read more",,light with neutral rosy undertones i ve been testing the est e lauder double wear stay in place foundation for the past week and have been really impressed i apply it in the morning before work and it truly lasts all day without getting shiny or patchy even through workouts and humidity the texture is lightweight and liquidy so it blends easily with a brush or sponge and feels surprisingly comfortable on my skin not heavy or mask like i d call the coverage medium to full and it evens out my tone beautifully without settling into fine lines there s barely any scent which i really like and once it sets it doesn t transfer onto clothes or my phone by the end of the night it still looks polished which is rare for me overall a super reliable long wear foundation i received this product for free from estee lauder for testing and review purposes read more
Estee Lauder Double Wear,,No,,,,,,,,light with warm undertones This is the perfect buildable coverage foundation. It looks natural and lasts all day. I received this product for free from Estée Lauder for testing and review purposes.”,,light with warm undertones this is the perfect buildable coverage foundation it looks natural and lasts all day i received this product for free from est e lauder for testing and review purposes
